data_split,action,bin_left,bin_right,bin_mid,count,fraction
all,turn,0.04,0.06,0.05,276,0.06344827586206897
all,turn,0.06,0.08,0.07,172,0.03954022988505747
all,turn,0.08,0.1,0.09,193,0.044367816091954025
all,turn,0.1,0.12,0.11,137,0.031494252873563215
all,turn,0.12,0.14,0.13,70,0.016091954022988506
all,turn,0.14,0.16,0.15000000000000002,66,0.015172413793103448
all,turn,0.16,0.18,0.16999999999999998,77,0.017701149425287357
all,turn,0.18,0.2,0.19,76,0.01747126436781609
all,turn,0.2,0.22,0.21000000000000002,57,0.01310344827586207
all,turn,0.22,0.24,0.22999999999999998,90,0.020689655172413793
all,turn,0.24,0.26,0.25,58,0.013333333333333334
all,turn,0.26,0.28,0.27,105,0.02413793103448276
all,turn,0.28,0.3,0.29000000000000004,96,0.022068965517241378
all,turn,0.3,0.32,0.31,47,0.010804597701149426
all,turn,0.32,0.34,0.33,23,0.0052873563218390806
all,turn,0.34,0.36,0.35,35,0.008045977011494253
all,turn,0.36,0.38,0.37,23,0.0052873563218390806
all,turn,0.38,0.4,0.39,14,0.003218390804597701
all,turn,0.4,0.42,0.41000000000000003,14,0.003218390804597701
all,turn,0.42,0.44,0.43,13,0.002988505747126437
all,turn,0.44,0.46,0.45,6,0.001379310344827586
all,turn,0.46,0.48,0.47,21,0.004827586206896552
all,turn,0.48,0.5,0.49,45,0.010344827586206896
all,turn,0.5,0.52,0.51,51,0.011724137931034483
all,turn,0.52,0.54,0.53,47,0.010804597701149426
all,turn,0.54,0.56,0.55,33,0.007586206896551724
all,turn,0.56,0.58,0.5700000000000001,23,0.0052873563218390806
all,turn,0.58,0.6,0.59,12,0.002758620689655172
all,turn,0.6,0.62,0.61,18,0.004137931034482759
all,turn,0.62,0.64,0.63,18,0.004137931034482759
all,turn,0.64,0.66,0.65,14,0.003218390804597701
all,turn,0.66,0.68,0.67,20,0.004597701149425287
all,turn,0.68,0.7000000000000001,0.6900000000000001,23,0.0052873563218390806
all,turn,0.7000000000000001,0.72,0.71,51,0.011724137931034483
all,turn,0.72,0.74,0.73,44,0.010114942528735632
all,turn,0.74,0.76,0.75,5,0.0011494252873563218
all,turn,0.76,0.78,0.77,22,0.005057471264367816
all,turn,0.78,0.8,0.79,7,0.0016091954022988506
all,turn,0.8,0.8200000000000001,0.81,12,0.002758620689655172
all,turn,0.8200000000000001,0.84,0.8300000000000001,13,0.002988505747126437
all,turn,0.84,0.86,0.85,2,0.0004597701149425287
all,turn,0.86,0.88,0.87,2,0.0004597701149425287
all,turn,0.88,0.9,0.89,0,0.0
all,turn,0.9,0.92,0.91,5,0.0011494252873563218
all,turn,0.92,0.9400000000000001,0.93,0,0.0
all,turn,0.9400000000000001,0.96,0.95,1,0.00022988505747126436
all,turn,0.96,0.98,0.97,0,0.0
all,turn,0.98,1.0,0.99,0,0.0
calibration,all,0.0,0.02,0.01,3753,0.5361428571428571
calibration,all,0.02,0.04,0.03,517,0.07385714285714286
calibration,all,0.04,0.06,0.05,403,0.05757142857142857
calibration,all,0.06,0.08,0.07,200,0.02857142857142857
calibration,all,0.08,0.1,0.09,193,0.027571428571428573
calibration,all,0.1,0.12,0.11,107,0.015285714285714286
calibration,all,0.12,0.14,0.13,67,0.009571428571428571
calibration,all,0.14,0.16,0.15000000000000002,60,0.008571428571428572
calibration,all,0.16,0.18,0.16999999999999998,62,0.008857142857142857
calibration,all,0.18,0.2,0.19,68,0.009714285714285713
calibration,all,0.2,0.22,0.21000000000000002,79,0.011285714285714286
calibration,all,0.22,0.24,0.22999999999999998,120,0.017142857142857144
calibration,all,0.24,0.26,0.25,88,0.012571428571428572
calibration,all,0.26,0.28,0.27,139,0.019857142857142858
calibration,all,0.28,0.3,0.29000000000000004,85,0.012142857142857143
calibration,all,0.3,0.32,0.31,37,0.005285714285714286
calibration,all,0.32,0.34,0.33,17,0.0024285714285714284
calibration,all,0.34,0.36,0.35,25,0.0035714285714285713
calibration,all,0.36,0.38,0.37,18,0.0025714285714285713
calibration,all,0.38,0.4,0.39,86,0.012285714285714285
calibration,all,0.4,0.42,0.41000000000000003,12,0.0017142857142857142
calibration,all,0.42,0.44,0.43,18,0.0025714285714285713
calibration,all,0.44,0.46,0.45,18,0.0025714285714285713
calibration,all,0.46,0.48,0.47,35,0.005
calibration,all,0.48,0.5,0.49,49,0.007
calibration,all,0.5,0.52,0.51,59,0.00842857142857143
calibration,all,0.52,0.54,0.53,60,0.008571428571428572
calibration,all,0.54,0.56,0.55,39,0.005571428571428572
calibration,all,0.56,0.58,0.5700000000000001,31,0.004428571428571428
calibration,all,0.58,0.6,0.59,22,0.003142857142857143
calibration,all,0.6,0.62,0.61,48,0.006857142857142857
calibration,all,0.62,0.64,0.63,59,0.00842857142857143
calibration,all,0.64,0.66,0.65,39,0.005571428571428572
calibration,all,0.66,0.68,0.67,29,0.004142857142857143
calibration,all,0.68,0.7000000000000001,0.6900000000000001,58,0.008285714285714285
calibration,all,0.7000000000000001,0.72,0.71,89,0.012714285714285714
calibration,all,0.72,0.74,0.73,79,0.011285714285714286
calibration,all,0.74,0.76,0.75,40,0.005714285714285714
calibration,all,0.76,0.78,0.77,34,0.004857142857142857
calibration,all,0.78,0.8,0.79,18,0.0025714285714285713
calibration,all,0.8,0.8200000000000001,0.81,16,0.002285714285714286
calibration,all,0.8200000000000001,0.84,0.8300000000000001,10,0.0014285714285714286
calibration,all,0.84,0.86,0.85,3,0.00042857142857142855
calibration,all,0.86,0.88,0.87,1,0.00014285714285714287
calibration,all,0.88,0.9,0.89,1,0.00014285714285714287
calibration,all,0.9,0.92,0.91,5,0.0007142857142857143
