action,indicator,n_steps,old_mean,new_mean,old_std,new_std,old_zero_rate,new_zero_rate,old_new_pearson,old_new_spearman
walk,B,3962,0.10884058556284705,0.13430315497223624,0.2412491825106678,0.23160471906918936,0.7435638566380616,0.6130742049469965,0.9609481723119789,0.8704276919591266
walk,O,3962,0.503098435133771,0.13955704189803128,0.241153646288999,0.34399987215777755,0.0,0.8541140837960626,0.8297333201199096,0.6122690128163901
walk,L,3962,0.09252902574457346,0.0638839222614841,0.21272261556886904,0.1546810849044817,0.8018677435638566,0.8369510348308935,0.7489823486661347,0.7699568658820315
turn,B,3038,0.13726132323897303,0.2954513824884793,0.2820413967340188,0.3493266558147135,0.71724818959842,0.4210006583278473,0.5533830092356207,0.5518516749108442
turn,L,3038,0.12306059907834102,0.08828940092165899,0.27302498539852277,0.18218274562011208,0.7876892692560895,0.7669519420671495,0.6160653040769034,0.6312226522295726
