indicator,bootstrap_median,ci_2_5,ci_97_5
B,0.21886904661700052,0.21061138003971208,0.22789061128333366
F,0.39937592702826086,0.3934785580633946,0.40512676312038254
L,0.3817281569141199,0.3760345422760825,0.3877227611442315
